行业代码,行业名称,一级行业名称,分类版本,来源,核验备注
220305,基础化工,基础化工,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
220306,基础化工,基础化工,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
220307,基础化工,基础化工,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
220308,基础化工,基础化工,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
220309,基础化工,基础化工,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
220310,基础化工,基础化工,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
220311,基础化工,基础化工,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
220312,基础化工,基础化工,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
220313,基础化工,基础化工,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
220314,基础化工,基础化工,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
220315,基础化工,基础化工,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
220316,基础化工,基础化工,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
220317,基础化工,基础化工,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
220401,基础化工,基础化工,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
220403,基础化工,基础化工,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
220404,基础化工,基础化工,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
220405,基础化工,基础化工,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
220406,基础化工,基础化工,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
220501,基础化工,基础化工,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
220503,基础化工,基础化工,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
220504,基础化工,基础化工,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
220505,基础化工,基础化工,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
220601,基础化工,基础化工,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
220602,基础化工,基础化工,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
220603,基础化工,基础化工,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
220604,基础化工,基础化工,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
220801,基础化工,基础化工,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
220802,基础化工,基础化工,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
220803,基础化工,基础化工,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
220804,基础化工,基础化工,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
220805,基础化工,基础化工,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
220901,基础化工,基础化工,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
230101,钢铁,钢铁,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
230102,钢铁,钢铁,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
230301,钢铁,钢铁,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
230302,钢铁,钢铁,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
230401,钢铁,钢铁,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
230402,钢铁,钢铁,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
230403,钢铁,钢铁,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
230501,钢铁,钢铁,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
240201,有色金属,有色金属,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
240202,有色金属,有色金属,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
240203,有色金属,有色金属,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
240301,有色金属,有色金属,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
240302,有色金属,有色金属,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
240303,有色金属,有色金属,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
240401,有色金属,有色金属,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
240402,有色金属,有色金属,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
240501,有色金属,有色金属,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
240502,有色金属,有色金属,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
240503,有色金属,有色金属,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
240504,有色金属,有色金属,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
240505,有色金属,有色金属,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
240601,有色金属,有色金属,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
240602,有色金属,有色金属,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
240603,有色金属,有色金属,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
270101,电子,电子,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
270102,电子,电子,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
270103,电子,电子,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
270104,电子,电子,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
270105,电子,电子,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
270106,电子,电子,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
270107,电子,电子,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
270108,电子,电子,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
270202,电子,电子,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
270203,电子,电子,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
270301,电子,电子,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
270302,电子,电子,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
270303,电子,电子,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
270401,电子,电子,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
270501,电子,电子,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
270502,电子,电子,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
270503,电子,电子,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
270504,电子,电子,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
270601,电子,电子,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
280101,汽车,汽车,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
280102,汽车,汽车,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
280103,汽车,汽车,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
280201,汽车,汽车,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
280202,汽车,汽车,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
280203,汽车,汽车,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
280204,汽车,汽车,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
280205,汽车,汽车,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
280206,汽车,汽车,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
280301,汽车,汽车,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
280302,汽车,汽车,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
280303,汽车,汽车,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
280401,汽车,汽车,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
280402,汽车,汽车,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
280501,汽车,汽车,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
280502,汽车,汽车,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
280601,汽车,汽车,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
280602,汽车,汽车,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
330101,家用电器,家用电器,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
330102,家用电器,家用电器,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
330104,家用电器,家用电器,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
330105,家用电器,家用电器,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
330106,家用电器,家用电器,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
330201,家用电器,家用电器,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
330202,家用电器,家用电器,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
330301,家用电器,家用电器,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
330302,家用电器,家用电器,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
330303,家用电器,家用电器,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
330401,家用电器,家用电器,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
330402,家用电器,家用电器,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
330501,家用电器,家用电器,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
330601,家用电器,家用电器,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
330701,家用电器,家用电器,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
340301,食品饮料,食品饮料,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
340303,食品饮料,食品饮料,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
340304,食品饮料,食品饮料,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
340305,食品饮料,食品饮料,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
340306,食品饮料,食品饮料,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
340401,食品饮料,食品饮料,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
340402,食品饮料,食品饮料,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
340403,食品饮料,食品饮料,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
340404,食品饮料,食品饮料,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
340406,食品饮料,食品饮料,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
340407,食品饮料,食品饮料,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
340501,食品饮料,食品饮料,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
340601,食品饮料,食品饮料,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
340602,食品饮料,食品饮料,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
340701,食品饮料,食品饮料,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
340702,食品饮料,食品饮料,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
340801,食品饮料,食品饮料,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
340802,食品饮料,食品饮料,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
340803,食品饮料,食品饮料,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
340901,食品饮料,食品饮料,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
350101,纺织服饰,纺织服饰,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
350102,纺织服饰,纺织服饰,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
350104,纺织服饰,纺织服饰,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
350105,纺织服饰,纺织服饰,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
350106,纺织服饰,纺织服饰,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
350107,纺织服饰,纺织服饰,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
350202,纺织服饰,纺织服饰,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
350203,纺织服饰,纺织服饰,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
350204,纺织服饰,纺织服饰,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
350205,纺织服饰,纺织服饰,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
350206,纺织服饰,纺织服饰,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
350207,纺织服饰,纺织服饰,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
350208,纺织服饰,纺织服饰,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
350209,纺织服饰,纺织服饰,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
350301,纺织服饰,纺织服饰,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
350303,纺织服饰,纺织服饰,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
360101,轻工制造,轻工制造,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
360102,轻工制造,轻工制造,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
360103,轻工制造,轻工制造,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
360201,轻工制造,轻工制造,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
360202,轻工制造,轻工制造,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
360203,轻工制造,轻工制造,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
360204,轻工制造,轻工制造,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
360205,轻工制造,轻工制造,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
360206,轻工制造,轻工制造,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
360302,轻工制造,轻工制造,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
360303,轻工制造,轻工制造,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
360304,轻工制造,轻工制造,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
360305,轻工制造,轻工制造,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
360306,轻工制造,轻工制造,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
360307,轻工制造,轻工制造,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
360308,轻工制造,轻工制造,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
360309,轻工制造,轻工制造,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
360311,轻工制造,轻工制造,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
360401,轻工制造,轻工制造,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
360501,轻工制造,轻工制造,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
360502,轻工制造,轻工制造,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
370101,医药生物,医药生物,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
370102,医药生物,医药生物,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
370201,医药生物,医药生物,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
370301,医药生物,医药生物,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
370302,医药生物,医药生物,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
370303,医药生物,医药生物,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
370304,医药生物,医药生物,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
370401,医药生物,医药生物,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
370402,医药生物,医药生物,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
370403,医药生物,医药生物,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
370501,医药生物,医药生物,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
370502,医药生物,医药生物,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
370503,医药生物,医药生物,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
370504,医药生物,医药生物,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
370601,医药生物,医药生物,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
370602,医药生物,医药生物,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
370603,医药生物,医药生物,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
370604,医药生物,医药生物,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
370605,医药生物,医药生物,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
410101,公用事业,公用事业,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
410102,公用事业,公用事业,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
410104,公用事业,公用事业,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
410105,公用事业,公用事业,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
410106,公用事业,公用事业,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
410107,公用事业,公用事业,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
410108,公用事业,公用事业,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
410109,公用事业,公用事业,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
410110,公用事业,公用事业,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
410201,公用事业,公用事业,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
410301,公用事业,公用事业,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
410401,公用事业,公用事业,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
420101,交通运输,交通运输,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
420201,交通运输,交通运输,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
420301,交通运输,交通运输,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
420401,交通运输,交通运输,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
420601,交通运输,交通运输,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
420701,交通运输,交通运输,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
420801,交通运输,交通运输,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
420802,交通运输,交通运输,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
420803,交通运输,交通运输,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
420804,交通运输,交通运输,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
420805,交通运输,交通运输,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
420806,交通运输,交通运输,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
420807,交通运输,交通运输,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
420901,交通运输,交通运输,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
420902,交通运输,交通运输,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
420903,交通运输,交通运输,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
421001,交通运输,交通运输,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
421002,交通运输,交通运输,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
421101,交通运输,交通运输,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
421102,交通运输,交通运输,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
430101,房地产,房地产,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
430102,房地产,房地产,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
430103,房地产,房地产,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
430201,房地产,房地产,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
430301,房地产,房地产,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
430302,房地产,房地产,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
430303,房地产,房地产,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
450201,商贸零售,商贸零售,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
450301,商贸零售,商贸零售,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
450302,商贸零售,商贸零售,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
450303,商贸零售,商贸零售,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
450304,商贸零售,商贸零售,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
450401,商贸零售,商贸零售,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
450501,商贸零售,商贸零售,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
450502,商贸零售,商贸零售,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
450601,商贸零售,商贸零售,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
450602,商贸零售,商贸零售,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
450603,商贸零售,商贸零售,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
450701,商贸零售,商贸零售,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
460101,社会服务,社会服务,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
460102,社会服务,社会服务,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
460201,社会服务,社会服务,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
460301,社会服务,社会服务,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
460401,社会服务,社会服务,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
